Comment,Designator,Footprint,LCSC,Quantity
100nF 0805,"C1,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C2,C20,C21,C22,C23,C24,C3,C4,C5,C6,C7,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233,24
WS2812B,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED3,LED4,LED5,LED6,LED7,LED8,LED9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C4154882,24
~,D1,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D2,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D3,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D4,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D5,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D6,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D7,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D8,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D9,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D10,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D11,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D12,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D13,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D14,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D16,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D17,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D18,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D19,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D20,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D21,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D22,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D23,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D24,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D25,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D26,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D27,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D28,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D29,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D31,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D32,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D33,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D34,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D35,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D36,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D37,D_DO-35_SOD27_P5.08mm_Horizontal,,1
~,D38,D_DO-35_SOD27_P5.08mm_Horizontal,,1
