Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,333.35,-63.4,90.0,bottom
C10,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,66.2,-121.0,90.0,bottom
C11,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,64.0,-137.45,90.0,bottom
C12,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.2,-170.0,90.0,bottom
C13,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100.9,-168.4,0.0,bottom
C14,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.4375,-168.0,0.0,bottom
C15,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,179.6,-168.1375,90.0,bottom
C16,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,217.45,-168.0,0.0,bottom
C17,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,259.3125,-168.0,0.0,bottom
C18,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,313.6375,-168.0,0.0,bottom
C19,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,360.8,-175.8,270.0,bottom
C2,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,299.4125,-63.4,90.0,bottom
C20,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,392.5,-157.0,270.0,bottom
C21,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,394.5,-128.2625,270.0,bottom
C22,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,387.35,-99.21875,90.0,bottom
C23,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,394.9375,-84.0,0.0,bottom
C24,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,368.8,-70.8,0.0,bottom
C3,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,261.4,-63.4,90.0,bottom
C4,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,223.75,-63.1,90.0,bottom
C5,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,185.2,-63.4,90.0,bottom
C6,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.7375,-63.4,90.0,bottom
C7,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.8,-63.4,90.0,bottom
C8,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,66.675,-76.13125,90.0,bottom
C9,100nF 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,64.0,-102.05,90.0,bottom
D1,~,D_DO-35_SOD27_P5.08mm_Horizontal,67.5,-68.81,-90.0,top
